;;;;;;;;;;;;;;;;;;;;;;;H;A;H;A;H;A
2019;26;Jan;00:00;USA;NBA;2018/2019;Orlando Magic;Washington Wizards;ORL;WAS;21;24;A;U;;;91;95;A;U;4;186;1,55;2,48;1,58;2,55;1,57;2,55
2019;25;Jan;03:30;USA;NBA;2018/2019;Los Angeles Lakers;Minnesota Timberwolves;LAL;MIN;29;28;H;O;;;105;120;A;O;15;225;1,94;1,72;2,04;1,87;2;1,83
2019;25;Jan;02:00;USA;NBA;2018/2019;Phoenix Suns;Portland Trail Blazers;PHX;POR;31;30;H;O;;;106;120;A;O;14;226;3,46;1,29;3,56;1,34;3,6;1,31
2019;25;Jan;01:00;USA;NBA;2018/2019;Oklahoma City Thunder;New Orleans Pelicans;OKC;NOP;28;28;D;O;;;122;116;H;O;6;238;1,11;6,8;1,14;6,94;1,11;6,75
2019;25;Jan;01:00;USA;NBA;2018/2019;Washington Wizards;Golden State Warriors;WAS;GSW;28;37;A;O;;;118;126;A;O;8;244;3,98;1,16;4,42;1,25;4,5;1,22
2019;24;Jan;03:30;USA;NBA;2018/2019;Utah Jazz;Denver Nuggets;UTA;DEN;30;24;H;O;;;114;108;H;O;6;222;1,55;2,19;1,65;2,4;1,64;2,35
2019;24;Jan;01:00;USA;NBA;2018/2019;Chicago Bulls;Atlanta Hawks;CHI;ATL;25;42;A;O;;;101;121;A;O;20;222;1,69;1,96;1,8;2,13;1,76;2,1
2019;24;Jan;01:00;USA;NBA;2018/2019;Memphis Grizzlies;Charlotte Hornets;MEM;CHA;22;23;A;U;;;107;118;A;O;11;225;2,06;1,71;1,91;2;1,86;1,95
2019;24;Jan;01:00;USA;NBA;2018/2019;New Orleans Pelicans;Detroit Pistons;NOP;DET;28;31;A;O;;;94;98;A;U;4;192;1,46;2,43;1,56;2,59;1,66;2,3
2019;24;Jan;01:00;USA;NBA;2018/2019;Philadelphia 76ers;San Antonio Spurs;PHI;SAS;34;35;A;O;;;122;120;H;O;2;242;1,48;2,55;1,63;2,44;1,54;2,65
2019;24;Jan;00:30;USA;NBA;2018/2019;Boston Celtics;Cleveland Cavaliers;BOS;CLE;27;30;A;O;;;123;103;H;O;20;226;1,04;13;1,04;15,53;1,03;15,5
